DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
28-11-2014,1175.5,,,,,
01-12-2014,1218.1,,,,,
02-12-2014,1199.4,,,,,
03-12-2014,1208.7,,,,,
04-12-2014,1207.7,,,,,
05-12-2014,1190.4,,,,,
08-12-2014,1194.9,,,,,
09-12-2014,1232,,,,,
10-12-2014,1229.4,,,,,
11-12-2014,1225.6,,,,,
12-12-2014,1222.5,,,,,
15-12-2014,1207.7,,,,,
16-12-2014,1194.3,,,,,
17-12-2014,1194.5,,,,,
18-12-2014,1194.8,,,,,
19-12-2014,1196,,,,,
22-12-2014,1179.8,,,,,
23-12-2014,1178,,,,,
24-12-2014,1173.5,,,,,
26-12-2014,1195.3,,,,,
29-12-2014,1181.9,,,,,
30-12-2014,1200.8,,,,,
31-12-2014,1184.5,,,,,
02-01-2015,1186.6,,,,,
05-01-2015,1204.4,,,,,
06-01-2015,1219.7,,,,,
07-01-2015,1211,,,,,
08-01-2015,1208.8,,,,,
09-01-2015,1216.5,,,,,
12-01-2015,1233.2,,,,,
13-01-2015,1234.8,,,,,
14-01-2015,1234.9,,,,,
15-01-2015,1265.2,,,,,
16-01-2015,1277.4,,,,,
19-01-2015,1294.2,,,,,
20-01-2015,1294.7,,,,,
21-01-2015,1294.3,,,,,
22-01-2015,1301.3,,,,,
23-01-2015,1293.2,,,,,
26-01-2015,1279.9,,,,,
27-01-2015,1292.3,,,,,
28-01-2015,1286.6,,,,,
29-01-2015,1255.9,,,,,
30-01-2015,1279.2,,,,,
02-02-2015,1276.9,,,,,
03-02-2015,1260.3,,,,,
04-02-2015,1264.5,,,,,
05-02-2015,1262.7,,,,,
06-02-2015,1234.6,,,,,
09-02-2015,1241.5,,,,,
10-02-2015,1232.2,,,,,
11-02-2015,1219.6,,,,,
12-02-2015,1220.7,,,,,
13-02-2015,1227.1,,,,,
16-02-2015,1208.6,,,,,
17-02-2015,1208.6,,,,,
18-02-2015,1200.2,,,,,
19-02-2015,1207.6,,,,,
20-02-2015,1204.9,,,,,
23-02-2015,1200.8,,,,,
24-02-2015,1197.3,,,,,
25-02-2015,1201.5,,,,,
26-02-2015,1210.5,,,,,
27-02-2015,1213.5,,,,,
02-03-2015,1208.7,,,,,
03-03-2015,1204.9,,,,,
04-03-2015,1201.4,,,,,
05-03-2015,1196.7,,,,,
06-03-2015,1164.8,,,,,
09-03-2015,1167,,,,,
10-03-2015,1160.6,,,,,
11-03-2015,1151.1,,,,,
12-03-2015,1152.4,,,,,
13-03-2015,1152.8,,,,,
16-03-2015,1153.6,,,,,
17-03-2015,1148.6,,,,,
18-03-2015,1151.7,,,,,
19-03-2015,1169.4,,,,,
20-03-2015,1185,,,,,
23-03-2015,1188,,,,,
24-03-2015,1191.7,,,,,
25-03-2015,1197.5,,,,,
26-03-2015,1205.3,,,,,
27-03-2015,1200.3,,,,,
30-03-2015,1185.3,,,,,
31-03-2015,1183.2,,,,,
01-04-2015,1208.2,,,,,
02-04-2015,1200.9,,,,,
03-04-2015,1200.9,,,,,
06-04-2015,1218.6,,,,,
07-04-2015,1210.6,,,,,
08-04-2015,1203.1,,,,,
09-04-2015,1193.6,,,,,
10-04-2015,1204.6,,,,,
13-04-2015,1199.3,,,,,
14-04-2015,1192.6,,,,,
15-04-2015,1201.3,,,,,
16-04-2015,1198,,,,,
17-04-2015,1203.1,,,,,
20-04-2015,1193.7,,,,,
21-04-2015,1203.1,,,,,
22-04-2015,1186.9,,,,,
23-04-2015,1194.3,,,,,
24-04-2015,1175,,,,,
27-04-2015,1203.2,,,,,
28-04-2015,1213.9,,,,,
29-04-2015,1210.5,,,,,
30-04-2015,1182.9,,,,,
01-05-2015,1175,,,,,
04-05-2015,1187.3,,,,,
05-05-2015,1193.7,,,,,
06-05-2015,1190.8,,,,,
07-05-2015,1182.7,,,,,
08-05-2015,1189.4,,,,,
11-05-2015,1183.5,,,,,
12-05-2015,1192.9,,,,,
13-05-2015,1218.7,,,,,
14-05-2015,1225.7,,,,,
15-05-2015,1225.8,,,,,
18-05-2015,1228.1,,,,,
19-05-2015,1207.2,,,,,
20-05-2015,1209.2,,,,,
21-05-2015,1204.6,,,,,
22-05-2015,1204.4,,,,,
25-05-2015,1186.9,,,,,
26-05-2015,1187.3,,,,,
27-05-2015,1186,,,,,
28-05-2015,1188.8,,,,,
29-05-2015,1189.8,,,,,
01-06-2015,1188.7,,,,,
02-06-2015,1194.4,,,,,
03-06-2015,1184.9,,,,,
04-06-2015,1175.2,,,,,
05-06-2015,1168.1,,,,,
08-06-2015,1173.6,,,,,
09-06-2015,1177.6,,,,,
10-06-2015,1186.6,,,,,
11-06-2015,1180.4,,,,,
12-06-2015,1179.2,,,,,
15-06-2015,1185.8,,,,,
16-06-2015,1180.9,,,,,
17-06-2015,1176.8,,,,,
18-06-2015,1202,,,,,
19-06-2015,1201.9,,,,,
22-06-2015,1184.1,,,,,
23-06-2015,1176.6,,,,,
24-06-2015,1172.9,,,,,
25-06-2015,1171.8,,,,,
26-06-2015,1173.2,,,,,
29-06-2015,1179.5,,,,,
30-06-2015,1172.3,,,,,
01-07-2015,1169.9,,,,,
02-07-2015,1164.1,,,,,
03-07-2015,1173.2,,,,,
06-07-2015,1173.7,,,,,
07-07-2015,1153.1,,,,,
08-07-2015,1164,,,,,
09-07-2015,1159.7,,,,,
10-07-2015,1158.4,,,,,
13-07-2015,1155.9,,,,,
14-07-2015,1154,,,,,
15-07-2015,1147.9,,,,,
16-07-2015,1144.3,,,,,
17-07-2015,1132.2,,,,,
20-07-2015,1107.1,,,,,
21-07-2015,1103.7,,,,,
22-07-2015,1091.7,,,,,
23-07-2015,1094.2,,,,,
24-07-2015,1085.7,,,,,
27-07-2015,1096.6,,,,,
28-07-2015,1096.3,,,,,
29-07-2015,1092.8,,,,,
30-07-2015,1088.4,,,,,
31-07-2015,1094.7,,,,,
03-08-2015,1089,,,,,
04-08-2015,1090.3,,,,,
05-08-2015,1085.3,,,,,
06-08-2015,1089.8,,,,,
07-08-2015,1093.8,,,,,
10-08-2015,1103.8,,,,,
11-08-2015,1107.5,,,,,
12-08-2015,1123.3,,,,,
13-08-2015,1115.3,,,,,
14-08-2015,1112.4,,,,,
17-08-2015,1118.1,,,,,
18-08-2015,1116.6,,,,,
19-08-2015,1127.6,,,,,
20-08-2015,1152.8,,,,,
21-08-2015,1159.2,,,,,
24-08-2015,1153.1,,,,,
25-08-2015,1137.9,,,,,
26-08-2015,1124.2,,,,,
27-08-2015,1122.2,,,,,
28-08-2015,1133.7,,,,,
31-08-2015,1132.2,,,,,
01-09-2015,1139.5,,,,,
02-09-2015,1133.3,,,,,
03-09-2015,1124.2,,,,,
04-09-2015,1121.1,,,,,
07-09-2015,1121,,,,,
08-09-2015,1120.8,,,,,
09-09-2015,1102,,,,,
10-09-2015,1109.3,,,,,
11-09-2015,1103.3,,,,,
14-09-2015,1107.6,,,,,
15-09-2015,1102.6,,,,,
16-09-2015,1119,,,,,
17-09-2015,1117.1,,,,,
18-09-2015,1138,,,,,
21-09-2015,1133,,,,,
22-09-2015,1124.9,,,,,
23-09-2015,1131.6,,,,,
24-09-2015,1154,,,,,
25-09-2015,1145.6,,,,,
28-09-2015,1131.7,,,,,
29-09-2015,1126.8,,,,,
30-09-2015,1115.2,,,,,
01-10-2015,1113.7,,,,,
02-10-2015,1136.6,,,,,
05-10-2015,1137.6,,,,,
06-10-2015,1146.4,,,,,
07-10-2015,1148.7,,,,,
08-10-2015,1144.3,,,,,
09-10-2015,1155.9,,,,,
12-10-2015,1164.5,,,,,
13-10-2015,1165.4,,,,,
14-10-2015,1179.8,,,,,
15-10-2015,1187.5,,,,,
16-10-2015,1183.1,,,,,
19-10-2015,1172.8,,,,,
20-10-2015,1177.5,,,,,
21-10-2015,1167.1,,,,,
22-10-2015,1166.1,,,,,
23-10-2015,1162.8,,,,,
26-10-2015,1166.2,,,,,
27-10-2015,1165.8,,,,,
28-10-2015,1176.1,,,,,
29-10-2015,1147.7,,,,,
30-10-2015,1141.8,,,,,
02-11-2015,1136.3,,,,,
03-11-2015,1114.5,,,,,
04-11-2015,1106.6,,,,,
05-11-2015,1104.6,,,,,
06-11-2015,1088.1,,,,,
09-11-2015,1088.5,,,,,
10-11-2015,1088.9,,,,,
11-11-2015,1085.2,,,,,
12-11-2015,1081.3,,,,,
13-11-2015,1081.2,,,,,
16-11-2015,1083.8,,,,,
17-11-2015,1068.7,,,,,
18-11-2015,1068.8,,,,,
19-11-2015,1078,,,,,
20-11-2015,1076.3,,,,,
23-11-2015,1066.7,,,,,
24-11-2015,1073.3,,,,,
25-11-2015,1069.8,,,,,
26-11-2015,1056.2,,,,,
27-11-2015,1056.2,,,,,
30-11-2015,1065.3,,,,,
01-12-2015,1063.5,,,,,
02-12-2015,1053.8,,,,,
03-12-2015,1061.2,,,,,
04-12-2015,1084.1,,,,,
07-12-2015,1075.2,,,,,
08-12-2015,1075.3,,,,,
09-12-2015,1076.5,,,,,
10-12-2015,1072,,,,,
11-12-2015,1075.7,,,,,
14-12-2015,1063.4,,,,,
15-12-2015,1061.6,,,,,
16-12-2015,1076.8,,,,,
17-12-2015,1049.6,,,,,
18-12-2015,1065,,,,,
21-12-2015,1080.6,,,,,
22-12-2015,1074.1,,,,,
23-12-2015,1068.3,,,,,
24-12-2015,1075.9,,,,,
28-12-2015,1068.3,,,,,
29-12-2015,1068,,,,,
30-12-2015,1060.1,,,,,
31-12-2015,1060.5,,,,,
04-01-2016,1075.5,,,,,
05-01-2016,1078.7,,,,,
06-01-2016,1092.2,,,,,
07-01-2016,1108.1,,,,,
08-01-2016,1098.1,,,,,
11-01-2016,1096.3,,,,,
12-01-2016,1085.3,,,,,
13-01-2016,1087.2,,,,,
14-01-2016,1073.6,,,,,
15-01-2016,1090.7,,,,,
18-01-2016,1089.1,,,,,
19-01-2016,1089,,,,,
20-01-2016,1105.7,,,,,
21-01-2016,1097.7,,,,,
22-01-2016,1096,,,,,
25-01-2016,1105.5,,,,,
26-01-2016,1120.3,,,,,
27-01-2016,1116,,,,,
28-01-2016,1116.1,,,,,
29-01-2016,1116.4,,,,,
01-02-2016,1128,,,,,
02-02-2016,1127.2,,,,,
03-02-2016,1141.3,,,,,
04-02-2016,1157.5,,,,,
05-02-2016,1157.7,,,,,
08-02-2016,1197.9,,,,,
09-02-2016,1198.6,,,,,
10-02-2016,1194.6,,,,,
11-02-2016,1247.8,,,,,
12-02-2016,1239.4,,,,,
15-02-2016,1208.2,,,,,
16-02-2016,1208.2,,,,,
17-02-2016,1211.4,,,,,
18-02-2016,1226.3,,,,,
19-02-2016,1230.8,,,,,
